"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 09 12:02:14 GMT 2021","Mon Aug 09 12:02:39 GMT 2021","24655","","tests.ComputerListPageTest","","tests.ComputerListPageTest","listStepButtons","listStepButtons()",""
"broken","Mon Aug 09 12:01:50 GMT 2021","Mon Aug 09 12:02:14 GMT 2021","24526","","tests.BillingDataPageTest","","tests.BillingDataPageTest","rewriteBillingNameData","rewriteBillingNameData()",""
"broken","Mon Aug 09 12:01:25 GMT 2021","Mon Aug 09 12:01:50 GMT 2021","24595","","tests.BillingDataPageTest","","tests.BillingDataPageTest","deleteBillingNameData","deleteBillingNameData()",""
"broken","Mon Aug 09 12:01:01 GMT 2021","Mon Aug 09 12:01:25 GMT 2021","24692","","tests.WriteDataFileTest","","tests.WriteDataFileTest","saveData","saveData()",""
"broken","Mon Aug 09 11:59:33 GMT 2021","Mon Aug 09 12:00:11 GMT 2021","37717","","tests.SignInTest","","tests.SignInTest","testSignIn","testSignIn()",""
"broken","Mon Aug 09 12:00:36 GMT 2021","Mon Aug 09 12:01:00 GMT 2021","24851","","tests.RegistrationPageTest","","tests.RegistrationPageTest","fillRegister","fillRegister()",""
"broken","Mon Aug 09 12:02:39 GMT 2021","Mon Aug 09 12:03:03 GMT 2021","24443","","tests.ComputerListPageTest","","tests.ComputerListPageTest","listComputers","listComputers()",""
"broken","Mon Aug 09 12:00:11 GMT 2021","Mon Aug 09 12:00:36 GMT 2021","24651","","tests.SignInTest","","tests.SignInTest","signOut","signOut()",""
