"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 10 14:27:23 GMT 2021","Tue Aug 10 14:28:05 GMT 2021","41989","","tests.RegistrationPageTest","","tests.RegistrationPageTest","fillRegister","fillRegister()",""
"passed","Tue Aug 10 14:25:57 GMT 2021","Tue Aug 10 14:27:23 GMT 2021","86125","","tests.SignInTest","","tests.SignInTest","signOut","signOut()",""
"passed","Tue Aug 10 14:28:05 GMT 2021","Tue Aug 10 14:29:08 GMT 2021","63512","","tests.WriteDataFileTest","","tests.WriteDataFileTest","saveData","saveData()",""
"passed","Tue Aug 10 14:24:31 GMT 2021","Tue Aug 10 14:25:57 GMT 2021","85799","","tests.SignInTest","","tests.SignInTest","testSignIn","testSignIn()",""
"passed","Tue Aug 10 14:36:57 GMT 2021","Tue Aug 10 14:38:00 GMT 2021","62404","","tests.ComputerListPageTest","","tests.ComputerListPageTest","listComputers","listComputers()",""
"passed","Tue Aug 10 14:30:56 GMT 2021","Tue Aug 10 14:32:47 GMT 2021","111140","","tests.BillingDataPageTest","","tests.BillingDataPageTest","rewriteBillingNameData","rewriteBillingNameData()",""
"passed","Tue Aug 10 14:32:47 GMT 2021","Tue Aug 10 14:36:57 GMT 2021","249785","","tests.ComputerListPageTest","","tests.ComputerListPageTest","listStepButtons","listStepButtons()",""
"passed","Tue Aug 10 14:29:08 GMT 2021","Tue Aug 10 14:30:56 GMT 2021","107847","","tests.BillingDataPageTest","","tests.BillingDataPageTest","deleteBillingNameData","deleteBillingNameData()",""
