"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Aug 27 07:20:31 GMT 2021","Fri Aug 27 07:25:03 GMT 2021","271920","","tests.ComputerListPageTest","","tests.ComputerListPageTest","listStepButtons","listStepButtons()",""
"passed","Fri Aug 27 07:16:23 GMT 2021","Fri Aug 27 07:17:06 GMT 2021","43186","","tests.RegistrationPageTest","","tests.RegistrationPageTest","fillRegister","fillRegister()",""
"broken","Fri Aug 27 07:19:34 GMT 2021","Fri Aug 27 07:20:31 GMT 2021","57090","","tests.BillingDataPageTest","","tests.BillingDataPageTest","rewriteBillingNameData","rewriteBillingNameData()",""
"passed","Fri Aug 27 07:14:17 GMT 2021","Fri Aug 27 07:15:19 GMT 2021","61838","","tests.SignInTest","","tests.SignInTest","testSignIn","testSignIn()",""
"passed","Fri Aug 27 07:25:03 GMT 2021","Fri Aug 27 07:25:47 GMT 2021","43517","","tests.ComputerListPageTest","","tests.ComputerListPageTest","listComputers","listComputers()",""
"passed","Fri Aug 27 07:17:06 GMT 2021","Fri Aug 27 07:17:50 GMT 2021","44146","","tests.WriteDataFileTest","","tests.WriteDataFileTest","saveData","saveData()",""
"passed","Fri Aug 27 07:15:19 GMT 2021","Fri Aug 27 07:16:23 GMT 2021","63483","","tests.SignInTest","","tests.SignInTest","signOut","signOut()",""
"broken","Fri Aug 27 07:17:50 GMT 2021","Fri Aug 27 07:19:34 GMT 2021","104404","","tests.BillingDataPageTest","","tests.BillingDataPageTest","deleteBillingNameData","deleteBillingNameData()",""
