"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 09 11:51:47 GMT 2021","Mon Aug 09 11:51:50 GMT 2021","2753","","tests.SignInTest","","tests.SignInTest","testSignIn","testSignIn()",""
"broken","Mon Aug 09 11:51:50 GMT 2021","Mon Aug 09 11:51:50 GMT 2021","192","","tests.RegistrationPageTest","","tests.RegistrationPageTest","fillRegister","fillRegister()",""
"broken","Mon Aug 09 11:51:51 GMT 2021","Mon Aug 09 11:51:51 GMT 2021","185","","tests.BillingDataPageTest","","tests.BillingDataPageTest","deleteBillingNameData","deleteBillingNameData()",""
"broken","Mon Aug 09 11:51:51 GMT 2021","Mon Aug 09 11:51:51 GMT 2021","156","","tests.ComputerListPageTest","","tests.ComputerListPageTest","listStepButtons","listStepButtons()",""
"broken","Mon Aug 09 11:51:51 GMT 2021","Mon Aug 09 11:51:51 GMT 2021","206","","tests.ComputerListPageTest","","tests.ComputerListPageTest","listComputers","listComputers()",""
"broken","Mon Aug 09 11:51:50 GMT 2021","Mon Aug 09 11:51:50 GMT 2021","293","","tests.SignInTest","","tests.SignInTest","signOut","signOut()",""
"broken","Mon Aug 09 11:51:50 GMT 2021","Mon Aug 09 11:51:51 GMT 2021","177","","tests.WriteDataFileTest","","tests.WriteDataFileTest","saveData","saveData()",""
"broken","Mon Aug 09 11:51:51 GMT 2021","Mon Aug 09 11:51:51 GMT 2021","151","","tests.BillingDataPageTest","","tests.BillingDataPageTest","rewriteBillingNameData","rewriteBillingNameData()",""
