"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 27 07:12:48 GMT 2021","Fri Aug 27 07:14:31 GMT 2021","102861","","tests.BillingDataPageTest","","tests.BillingDataPageTest","deleteBillingNameData","deleteBillingNameData()",""
"passed","Fri Aug 27 07:12:05 GMT 2021","Fri Aug 27 07:12:48 GMT 2021","42966","","tests.WriteDataFileTest","","tests.WriteDataFileTest","saveData","saveData()",""
"passed","Fri Aug 27 07:10:20 GMT 2021","Fri Aug 27 07:11:22 GMT 2021","61623","","tests.SignInTest","","tests.SignInTest","signOut","signOut()",""
"broken","Fri Aug 27 07:14:31 GMT 2021","Fri Aug 27 07:16:15 GMT 2021","103750","","tests.BillingDataPageTest","","tests.BillingDataPageTest","rewriteBillingNameData","rewriteBillingNameData()",""
"passed","Fri Aug 27 07:20:46 GMT 2021","Fri Aug 27 07:21:29 GMT 2021","42710","","tests.ComputerListPageTest","","tests.ComputerListPageTest","listComputers","listComputers()",""
"failed","Fri Aug 27 07:16:15 GMT 2021","Fri Aug 27 07:20:46 GMT 2021","271391","","tests.ComputerListPageTest","","tests.ComputerListPageTest","listStepButtons","listStepButtons()",""
"passed","Fri Aug 27 07:09:15 GMT 2021","Fri Aug 27 07:10:20 GMT 2021","65075","","tests.SignInTest","","tests.SignInTest","testSignIn","testSignIn()",""
"passed","Fri Aug 27 07:11:22 GMT 2021","Fri Aug 27 07:12:05 GMT 2021","43167","","tests.RegistrationPageTest","","tests.RegistrationPageTest","fillRegister","fillRegister()",""
