"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 09 13:13:50 GMT 2021","Mon Aug 09 13:13:51 GMT 2021","287","","tests.SignInTest","","tests.SignInTest","signOut","signOut()",""
"broken","Mon Aug 09 13:13:51 GMT 2021","Mon Aug 09 13:13:51 GMT 2021","153","","tests.BillingDataPageTest","","tests.BillingDataPageTest","rewriteBillingNameData","rewriteBillingNameData()",""
"broken","Mon Aug 09 13:13:51 GMT 2021","Mon Aug 09 13:13:51 GMT 2021","163","","tests.WriteDataFileTest","","tests.WriteDataFileTest","saveData","saveData()",""
"broken","Mon Aug 09 13:13:51 GMT 2021","Mon Aug 09 13:13:51 GMT 2021","180","","tests.RegistrationPageTest","","tests.RegistrationPageTest","fillRegister","fillRegister()",""
"broken","Mon Aug 09 13:13:52 GMT 2021","Mon Aug 09 13:13:52 GMT 2021","164","","tests.ComputerListPageTest","","tests.ComputerListPageTest","listStepButtons","listStepButtons()",""
"broken","Mon Aug 09 13:13:45 GMT 2021","Mon Aug 09 13:13:50 GMT 2021","5244","","tests.SignInTest","","tests.SignInTest","testSignIn","testSignIn()",""
"broken","Mon Aug 09 13:13:51 GMT 2021","Mon Aug 09 13:13:51 GMT 2021","193","","tests.BillingDataPageTest","","tests.BillingDataPageTest","deleteBillingNameData","deleteBillingNameData()",""
"broken","Mon Aug 09 13:13:52 GMT 2021","Mon Aug 09 13:13:52 GMT 2021","140","","tests.ComputerListPageTest","","tests.ComputerListPageTest","listComputers","listComputers()",""
