"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 09 15:27:35 GMT 2021","Mon Aug 09 15:27:44 GMT 2021","8793","","tests.RegistrationPageTest","","tests.RegistrationPageTest","fillRegister","fillRegister()",""
"broken","Mon Aug 09 15:27:27 GMT 2021","Mon Aug 09 15:27:35 GMT 2021","8318","","tests.SignInTest","","tests.SignInTest","signOut","signOut()",""
"broken","Mon Aug 09 15:27:55 GMT 2021","Mon Aug 09 15:28:01 GMT 2021","5589","","tests.BillingDataPageTest","","tests.BillingDataPageTest","rewriteBillingNameData","rewriteBillingNameData()",""
"broken","Mon Aug 09 15:28:09 GMT 2021","Mon Aug 09 15:28:14 GMT 2021","5176","","tests.ComputerListPageTest","","tests.ComputerListPageTest","listComputers","listComputers()",""
"broken","Mon Aug 09 15:27:49 GMT 2021","Mon Aug 09 15:27:55 GMT 2021","5760","","tests.BillingDataPageTest","","tests.BillingDataPageTest","deleteBillingNameData","deleteBillingNameData()",""
"broken","Mon Aug 09 15:25:07 GMT 2021","Mon Aug 09 15:27:27 GMT 2021","139708","","tests.SignInTest","","tests.SignInTest","testSignIn","testSignIn()",""
"broken","Mon Aug 09 15:27:44 GMT 2021","Mon Aug 09 15:27:49 GMT 2021","5526","","tests.WriteDataFileTest","","tests.WriteDataFileTest","saveData","saveData()",""
"broken","Mon Aug 09 15:28:01 GMT 2021","Mon Aug 09 15:28:09 GMT 2021","8156","","tests.ComputerListPageTest","","tests.ComputerListPageTest","listStepButtons","listStepButtons()",""
